MATCH,District,Ward,Precinct,SH16_EMalia,SH16_CClemons,Total Votes Cast
Boston Ward 11 Precinct 1,11-1,11,1,54,31,89
Boston Ward 11 Precinct 2,11-2,11,2,91,90,190
Boston Ward 11 Precinct 3,11-3,11,3,51,61,118
Boston Ward 11 Precinct 4,11-4,11,4,107,63,184
Boston Ward 11 Precinct 5,11-5,11,5,117,80,211
Boston Ward 11 Precinct 6,11-6,11,6,112,19,135
Boston Ward 11 Precinct 7,11-7,11,7,161,37,203
Boston Ward 11 Precinct 8,11-8,11,8,161,25,195
Boston Ward 11 Precinct 9,11-9,11,9,170,21,195
Boston Ward 11 Precinct 10,11-10,11,10,141,20,164
Boston Ward 12 Precinct 7,12-7,12,7,81,157,254
Boston City Ward 12 Precinct 9,12-9,12,9,40,68,111
Boston City Ward 14 Precinct 3,14-3,14,3,37,54,101
Boston City Ward 19 Precinct 6,19-6,19,6,260,38,308
Boston City Ward 19 Precinct 7,19-7,19,7,209,26,242
Boston City Ward 19 Precinct 9,19-9,19,9,108,21,133
Boston City Ward 19 Precinct 10,19-10,19,10,146,40,206
Boston City Ward 19 Precinct 11,19-11,19,11,63,28,96
Boston City Ward 19 Precinct 13,19-13,19,13,77,13,94
